ACTEURS,OBJETS,LIEUX,ACTIONS,provenance
,,William_Holman_Hunt,,mots_francais
,,Edward_Sapir,,mots_francais
,,Platanacées,,mots_francais
,,Irlande,,mots_francais
,,Îles_Féroé,,mots_francais
,,Santiago_de_Cuba,,mots_francais
,,senecio,,mots_francais
,,vagir,,mots_francais
,,alkékenge,,mots_francais
,,banteng,,mots_francais
,,bufo_debilis,,mots_francais
,,Touche_tabulation,,mots_francais
,,tetragonia,,mots_francais
,,William_Tecumseh_Sherman,,mots_francais
,,alcazar,,mots_francais
,,gai,,mots_francais
,,barème_de_prix,,mots_francais
,,péremptoire,,mots_francais
,,Cinétique,,mots_francais
,,dollar_US,,mots_francais
,,marattiales,,mots_francais
,,ase_fétide,,mots_francais
,,teriyaki,,mots_francais
,,American_Standard_Code_for_Information_Interchange,,mots_francais
,,Lisbonne,,mots_francais
,,cannabidaceae,,mots_francais
,,Bloomington,,mots_francais
,,vinca_major,,mots_francais
,,Willard_Gibbs,,mots_francais
,,Loos,,mots_francais
,,petasites_fragrans,,mots_francais
,,basophilie,,mots_francais
,,Nairobi,,mots_francais
,,chaîne_de_télévision,,mots_francais
,,tayra,,mots_francais
,,Casablanca,,mots_francais
,,centre,,mots_francais
,,soixante-dix-neuf,,mots_francais
,,grand_livre,,mots_francais
,,bâtiment_de_plaisance,,mots_francais
,,Mantinée,,mots_francais
,,Gent,,mots_francais
,,Rudolf_Hess,,mots_francais
,,Pistolet_à_eau,,mots_francais
,,qoph,,mots_francais
,,polenta,,mots_francais
,,Liechtenstein,,mots_francais
,,Voile_du_palais,,mots_francais
,,-ée,,mots_francais
,,NBV,,mots_francais
,,Xyridaceae,,mots_francais
,,inoctavo,,mots_francais
,,Laurel_et_Hardy,,mots_francais
,,Antalya,,mots_francais
,,Batrachoseps,,mots_francais
,,viscum,,mots_francais
,,cervus_elaphus,,mots_francais
,,Thelonious_Monk,,mots_francais
,,James_Matthew_Barrie,,mots_francais
,,acide_de_lysergique,,mots_francais
,,État_de_Durango,,mots_francais
,,agave_atrovirens,,mots_francais
,,Castanospermum_australe,,mots_francais
,,angélique_officinale,,mots_francais
,,Camponotus,,mots_francais
,,Giles_Lytton_Strachey,,mots_francais
,,Espagne,,mots_francais
,,arsenal,,mots_francais
,,Patagonie,,mots_francais
,,yuppie,,mots_francais
,,Mikhaïl_Ivanovitch_Glinka,,mots_francais
,,Bertrand_Arthur_William_Russell,,mots_francais
,,Cucurbita,,mots_francais
,,éléphant_de_mer,,mots_francais
,,phleum,,mots_francais
,,Macon,,mots_francais
,,rafraichir,,mots_francais
,,semi-consonne,,mots_francais
,,Characidae,,mots_francais
,,Honiara,,mots_francais
,,Federal_Reserve,,mots_francais
,,Jacques_II,,mots_francais
,,Lis_Martagon,,mots_francais
,,chambray,,mots_francais
,,ursidae,,mots_francais
,,système_de_coordonnées,,mots_francais
,,Calandrinia,,mots_francais
,,Sierra_Madre_Occidentale,,mots_francais
,,plesiosauria,,mots_francais
,,Afrique,,mots_francais
,,Keith_Rupert_Murdoch,,mots_francais
,,angas,,mots_francais
,,rédactrice_en_chef,,mots_francais
,,Xénope,,mots_francais
,,bombe_H,,mots_francais
,,Djebel_Moussa,,mots_francais
,,société_de_la_connaissance,,mots_francais
,,Hémangiome,,mots_francais
,,Jordanienne,,mots_francais
,,gaule,,mots_francais
,,fétuque,,mots_francais
,,Suriname,,mots_francais
,,ouest-quart-sud-ouest,,mots_francais
,,Tumulus,,mots_francais
,,loxia,,mots_francais
,,Juglandaceae,,mots_francais
,,Essen,,mots_francais
,,Éolienne,,mots_francais
,,Organisation_sociale,,mots_francais
,,calamintha,,mots_francais
,,fuligule_milouinan,,mots_francais
,,Isotope,,mots_francais
,,Saint_John',,mots_francais
,,raffinage_du_pétrole,,mots_francais
,,Benzodiazépine,,mots_francais
,,Nathaniel_Hawthorne,,mots_francais
,,congo,,mots_francais
,,Violette_odorante,,mots_francais
,,Léthé,,mots_francais
,,melolontha_melolontha,,mots_francais
,,arbre_de_soie,,mots_francais
,,barniques,,mots_francais
,,puce_%28insecte%29_|_fr,,mots_francais
,,papier_à_rouler,,mots_francais
,,masser,,mots_francais
,,Guam,,mots_francais
,,vote_à_bulletin_secret,,mots_francais
,,tadorne,,mots_francais
,,Babylone,,mots_francais
,,hallux_valgus_;_hallux_valgus,,mots_francais
,,Gesnériacées,,mots_francais
,,providence,,mots_francais
,,Bangladesh,,mots_francais
,,Antiépileptique,,mots_francais
,,Harold_Clayton_Urey,,mots_francais
,,ail_des_jardins,,mots_francais
,,Droseraceae,,mots_francais
,,Protura,,mots_francais
,,bataille_de_caporetto,,mots_francais
,,choriocentèse,,mots_francais
,,Antonín_Leopold_Dvořák,,mots_francais
,,Référé_en_droit_français,,mots_francais
,,Comores,,mots_francais
,,millivoltmètre,,mots_francais
,,Vésicule,,mots_francais
,,pogonophora,,mots_francais
,,addax,,mots_francais
,,Russie,,mots_francais
,,tyr,,mots_francais
,,Nevis,,mots_francais
,,Alan_Alexander_Milne,,mots_francais
,,Moteur_en_étoile,,mots_francais
,,Equidae,,mots_francais
,,aconitum,,mots_francais
,,laminaire,,mots_francais
,,produit_vectoriel,,mots_francais
,,carpobrotus,,mots_francais
,,Turkménistan,,mots_francais
,,Ochnaceae,,mots_francais
,,porridge,,mots_francais
,,Auckland,,mots_francais
